.smooth,.type,.by,.estimate,.se,active_burrows,block,year,month,adj_est
s(active_burrows),TPRS,NA,0.03360133116582315,0.012586003374052121,240.78787878787878,NA,NA,NA,0.38915688672137877
s(active_burrows),TPRS,NA,0.032522861167904586,0.012616365474892343,244.84848484848484,NA,NA,NA,0.3880784167234602
s(active_burrows),TPRS,NA,0.03132275317350182,0.012631785077817472,248.9090909090909,NA,NA,NA,0.38687830872905743
s(active_burrows),TPRS,NA,0.030001014980909294,0.012628289105649839,252.96969696969697,NA,NA,NA,0.3855565705364649
s(active_burrows),TPRS,NA,0.028563303023240148,0.012609990118149264,257.030303030303,NA,NA,NA,0.3841188585787958
s(active_burrows),TPRS,NA,0.027016783937399626,0.012583381702062997,261.0909090909091,NA,NA,NA,0.38257233949295527
s(active_burrows),TPRS,NA,0.02536862437615142,0.012553609033356908,265.1515151515151,NA,NA,NA,0.380924179931707
s(active_burrows),TPRS,NA,0.023625990992258962,0.012523152525851235,269.21212121212125,NA,NA,NA,0.3791815465478146
s(active_burrows),TPRS,NA,0.02179605043848608,0.012491435786395283,273.27272727272725,NA,NA,NA,0.3773516059940417
s(active_burrows),TPRS,NA,0.019885969367596085,0.012455387099014533,277.33333333333337,NA,NA,NA,0.3754415249231517
s(active_burrows),TPRS,NA,0.017902914432352725,0.012410971063390858,281.3939393939394,NA,NA,NA,0.3734584699879083
s(active_burrows),TPRS,NA,0.0158539692622407,0.012356030962994863,285.45454545454544,NA,NA,NA,0.3714095248177963
s(active_burrows),TPRS,NA,0.013744996977633638,0.012296567785679249,289.5151515151515,NA,NA,NA,0.3693005525331893
s(active_burrows),TPRS,NA,0.011580932157358795,0.012241184801032078,293.57575757575756,NA,NA,NA,0.3671364877129144
s(active_burrows),TPRS,NA,0.009366686122239646,0.012193099058322322,297.6363636363636,NA,NA,NA,0.36492224167779524
s(active_burrows),TPRS,NA,0.007107170193099901,0.012149540745466208,301.6969696969697,NA,NA,NA,0.36266272574865555
s(active_burrows),TPRS,NA,0.004806557023997682,0.012106108420269117,305.75757575757575,NA,NA,NA,0.3603621125795533
s(active_burrows),TPRS,NA,0.0024653205515572565,0.012066857114578203,309.8181818181818,NA,NA,NA,0.35802087610711286
s(active_burrows),TPRS,NA,8.277942825865666e-5,0.012039493110960711,313.8787878787879,NA,NA,NA,0.3556383349838143
s(active_burrows),TPRS,NA,-0.0023417480808389443,0.012029805444368475,317.93939393939394,NA,NA,NA,0.3532138074747167
s(active_burrows),TPRS,NA,-0.004808943710676871,0.012039626650424906,322,NA,NA,NA,0.35074661184487876
s(active_burrows),TPRS,NA,-0.007319489196196349,0.012066773268119925,326.06060606060606,NA,NA,NA,0.3482360663593593
s(active_burrows),TPRS,NA,-0.009874060754802159,0.012107026666143373,330.1212121212121,NA,NA,NA,0.34568149480075344
s(active_burrows),TPRS,NA,-0.012472812010456063,0.012160585860026345,334.1818181818182,NA,NA,NA,0.34308274354509954
